CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
246724531,09/01/2016,14:50:00,03/20/2019,14:51:00,03/23/2019,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,10,INSIDE,RESIDENCE - APT. HOUSE,,,982246,210981,40.745778689000076,-74.00723374599994,"(40.745778689000076, -74.00723374599994)"
680585582,09/16/2016,18:57:00,,,01/04/2019,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,34,,STREET,,,1003372,248278,40.848128350000025,-73.93088528799996,"(40.848128350000025, -73.93088528799996)"
437013982,09/28/2016,13:30:00,01/25/2018,17:30:00,01/02/2019,116,SEX CRIMES,168,SODOMY 1,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,26,INSIDE,PUBLIC SCHOOL,,,996241,236149,40.81485028900005,-73.95668184799997,"(40.81485028900005, -73.95668184799997)"
726341940,10/01/2016,08:00:00,10/31/2016,15:00:00,01/15/2019,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,7,INSIDE,PUBLIC SCHOOL,,,988708,200317,40.71650772200008,-73.98391989899994,"(40.71650772200008, -73.98391989899994)"
305070094,10/03/2016,15:00:00,10/03/2016,15:40:00,01/22/2019,104,RAPE,157,RAPE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,9,INSIDE,RESIDENCE - APT. HOUSE,,,987624,203977,40.72655401900005,-73.98782842699995,"(40.72655401900005, -73.98782842699995)"
309974238,10/09/2016,21:50:00,10/10/2016,06:54:00,03/28/2019,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,10,,STREET,,,984928,211276,40.74658859200008,-73.99755456399998,"(40.74658859200008, -73.99755456399998)"
266120857,10/20/2016,23:00:00,,,03/01/2019,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,32,INSIDE,RESIDENCE - APT. HOUSE,,,999358,236472,40.81573205300003,-73.94542041099999,"(40.81573205300003, -73.94542041099999)"
384040746,10/28/2016,15:00:00,,,02/22/2019,125,NYS LAWS-UNCLASSIFIED FELONY,847,"NY STATE LAWS,UNCLASSIFIED FEL",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,5,INSIDE,RESIDENCE - APT. HOUSE,,,983903,200257,40.71634415200003,-74.00125319299997,"(40.71634415200003, -74.00125319299997)"
871013873,12/03/2016,14:30:00,08/12/2018,13:00:00,01/15/2019,340,FRAUDS,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,19,FRONT OF,RESIDENCE-HOUSE,,,996750,218838,40.76733554700007,-73.95487521099994,"(40.76733554700007, -73.95487521099994)"
407241454,12/08/2016,19:00:00,12/08/2016,22:00:00,03/06/2019,104,RAPE,153,RAPE 3,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,28,INSIDE,RESIDENCE - APT. HOUSE,,,997376,233927,40.80874990400008,-73.95258580599993,"(40.80874990400008, -73.95258580599993)"
